name,message,love_count,wow_count,haha_count,sad_count,angry_count
Debate attacks on Ted Cruz could be preview of things to come,"Donald J. Trump may have given Ted Cruz a pass at #GOPDebate, but he was a target for other challengers.The next seven weeks could see a barrage of attacks against Cruz, led by one candidate in particular.",17,19,12,7,28
Chris Christie: Russia 'stealing our lunch money',"After Tuesday night's #GOPDebate, Chris Christie is standing by his willingness to shoot down Russian planes if they violate his proposed no-fly zone.",27,50,71,19,17
Rand Paul: Donald Trump's plan to close the Internet is against the Constitution,"Donald J. Trump either does not understand or does not have much respect for the Constitution, Rand Paul said the day after the #GOPDebate.",10,19,76,16,66
Steve Harvey mistakenly crowns the wrong Miss Universe,"'Okay, folks, I have to apologize': Host Steve Harvey crowns wrong Miss Universe contestant.",16,22,119,14,51
Nike drops Manny Pacquiao after anti-gay comments,Nike just KO'd its endorsement deal with boxer Manny Pacquiao after he made comments saying gay people were 'worse than animals.',55,14,98,15,24
Americans are moving to Europe for free college degrees,"Want to study abroad? Americans can get a free college degree at 44 schools in Europe -- including all public colleges in Germany, Iceland, Norway and Finland.",89,70,6,6,7
Donald Trump referred to murder in a campaign speech again,"Donald J. Trump said even a 'murder' wouldn't erode support from his loyalists, and the comment has raised a few questions...",8,22,6,12,184
The battle between Kesha and Dr. Luke is more complex than a hashtag,"Taylor Swift and Lady Gaga are talking about it, and #FreeKesha has captured headlines.From Ke$ha's dollar sign days 'til now, the legal fight between Kesha and Dr. Luke was years in the making.",18,9,7,43,81
Judge inches toward subpoenas in Clinton email server case,A federal judge paved the way for possible future subpoenas by the State Department against Hillary Clinton and her longtime aide Huma Abedin.,49,11,47,7,15
It's over; Trump is the Republican nominee (Opinion),"'Who the heck can stop him now?'CNN commentator Mel Robbins says while Donald Trump is racking up win after win, the only question left is: When will the GOP embrace him?",72,28,48,152,362
"The $100,000 job: Garbage workers","When these garbage workers smell trash, they smell money. Lots of it. And they're not alone, wages for trash workers have grown 18% since 2009.",185,565,44,11,36
Rubio: Most GOP voters still don't want Trump,"Even after Donald J. Trump's commanding victory in the Nevada Republican caucuses, Marco Rubio  insisted that 'a majority of Republican voters in this country' don't want him to be the nominee.",163,32,207,21,79
Facebook turns on 'Reactions' for all customers,How does it make you feel?,3714,2871,1317,215,798
Terry Crews: Porn addiction 'messed up my life','It changes the way you think about people. People become objects. People become body parts; they become things to be used rather than people to be loved.',141,502,320,87,24
A vote for Trump is a vote for bigotry (CNN Opinion),"'If you support [Donald J. Trump], you support his sexist, bigoted and racist views,' writes a CNN Opinion writer.",1641,177,382,161,2079
Donald Trump's Day 1 to-do list,Here are the 3 things Donald J. Trump would do on Day 1 of his presidency.,173,77,251,119,1725
Medical marijuana legalized in Australia,You can now get high in the land down under (for medical and scientific purposes),571,237,84,20,23
Trump's initial reaction to Pope's criticism: 'This is a disaster',Here's the first thing that Donald J. Trump thought when he heard Pope Francis had made critical comments against him...,19,30,120,9,171
Donald Trump's odds at capturing GOP nomination at 68%,"A week before Super Tuesday, Donald J. Trump's odds for winning the Republican nomination have soared to 68%.",352,181,204,846,2117
New York mayor proposes first heroin injection centers,This mayor is proposing the nation's first supervised injection facilities for heroin addicts.,88,209,31,30,399
Colorado visitors are using pot and ending up in the ER,"Weed-related ER visits are on the rise in Colorado, especially among out-of-state visitors, researchers say.",38,398,1164,72,143
Three pregnant women test positive for Zika virus in Florida,The state wants to protect their privacy.,6,237,12,481,26
Mitt Romney hits Donald Trump over releasing taxes,"'We have good reason to believe that there's a bombshell in (Donald J. Trump)'s taxes,' Mitt Romney says.",79,107,380,8,192
Anthem of the Seas passenger files lawsuit against Royal Caribbean,"One passenger was flung 18 feet against his cabin door in the storm and knocked unconscious, the suit claims.",7,79,34,16,13
ISIS supporters threaten Mark Zuckerberg and Jack Dorsey,"A group of #ISIS supporters has threatened to take down Facebook and Twitter -- as well as their leaders.",15,121,395,42,581
Kanye West's list of feuds just grew again,'Do something relevant… Please don’t speak on me bro ever again!!!',44,108,641,45,745
Donald Trump to be witness in federal case accusing him of fraud,Donald J. Trump is set to be called by both sides in a federal court case accusing the former Trump University with defrauding students.,355,145,1337,18,142
South Dakota governor considers transgender restroom bill,"If passed, South Dakota will become the first state in the country to restrict bathroom and locker room use by transgender people.",135,41,36,55,553
"At long last, the media moves toward Donald Trump",'THE UNTHINKABLE is starting to look like the inevitable': The press is coming around to Donald J. Trump...,357,100,150,192,1906
Comedian Adam Carolla predicted 2016 Donald Trump victory back in 2008,"'You understand Donald J. Trump is gonna be president. He'll be president one day. It'll be in our lifetime,' Adam Carolla said way back in 2008.",98,84,203,63,282
Apple to court: Government can't force us to write code,Apple just told a court that it shouldn't have to help the FBI unlock a San Bernardino shooter's iPhone.,275,45,48,9,141
Republicans gather for high-stakes debate before Super Tuesday,"Ted Cruz, Dr. Ben Carson, Marco Rubio, and John Kasich have one shared goal for Thursday night's #GOPDebate: stop Donald J. Trump",23,9,36,7,62
Mark Zuckerberg loses patience over racial insensitivity at Facebook,People have been crossing out 'black lives matter' on the walls of Facebook's headquarters and writing 'all lives matter' and Mark Zuckerberg is losing his patience.,616,85,305,40,100
The most memorable quotes from the Republican debate in Houston,"'If he hadn't inherited $200 million, you know where Donald J. Trump would be right now? Selling watches in Manhattan.'",260,52,1216,11,85
Donald Trump defends Planned Parenthood at Republican debate,"'Millions of millions of women -- cervical cancer, breast cancer -- are helped by Planned Parenthood... I would defund it...' -- Donald J. Trump at the CNN #GOPDebate in Houston.",21,62,32,9,270
Ben Carson vows to look at the 'fruit salad' of potential Supreme Court picks,"So this happened. #GOPDebate",14,18,131,6,22
Mississippi governor defends Confederate Heritage Month proclamation,"The governor quietly issued the proclamation, saying people should 'earnestly strive to understand our heritage.'",280,31,40,47,638
Bangladesh's 'Tree Man' undergoes first surgery,"Abul Bajandra, the so-called 'Tree Man,' is getting life-changing surgery.",101,412,14,322,14
This Chicago college canceled spring break to save money,Students at Chicago State University got an odd surprise this week.,16,76,57,22,20
First on CNN: Conservative super PAC to air ad hitting Clinton on paid speech transcripts,A conservative group is planning to air ads attacking Hillary Clinton over her speech transcripts.,61,15,111,6,83
Debate coach: A lesson in taking down Trump,How did the candidates do in last night's Republican debate? We asked a debate coach. (from CNN Opinion),42,12,129,7,40
Marco Rubio calls Donald Trump a 'con artist' after debate,'I would prefer not to get into a fight with other Republicans. But I would much more prefer not to turn over the party to a con artist like Donald Trump.'The fight between Marco Rubio and Donald J. Trump continues.,205,24,337,18,52
Hillary Clinton: Nothing to hide in Wall Street speech transcripts,Hillary Clinton says she is 'absolutely' sure that there is nothing in her speeches that voters should be concerned about.,92,26,226,10,179
"Amazon, Facebook, Google and Microsoft pledge support for Apple",Apple's biggest rivals are showing the company support in its fight with the FBI.,306,118,19,6,26
"Donald Trump misspells honor, choker on Twitter","'Wow, every poll said I won the debate last night. Great honer.'Donald J. Trump had some misspellings on Twitter while boasting about this #GOPDebate performance.",65,77,1421,53,289
Marco Rubio mocks Donald Trump for 'wet' pants,"After #GOPDebate, Marco Rubio reads Donald J. Trump's tweets, jokes that maybe he 'wet' his pants.",133,29,658,15,66
Chris Christie endorses Donald Trump,Just in: New Jersey Gov. Chris Christie has endorsed Donald J. Trump's bid for president.,463,424,1154,220,1675
Choosing baby's sex: Should parents be allowed to do it?,"Chrissy Teigen and John Legend wanted a girl, but was it safe and ethical for them to decide?",130,56,14,30,285
Moldy sippy cups frighten parents,Outraged parents are taking to Facebook after finding mold in their children's sippy cups.,11,189,21,22,304
Air Force reveals first image of B-21 bomber,"Here it is, the first official drawing of the U.S. Air Force's B-21 bomber.",176,375,14,15,23
Model Cheryl Tiegs calls plus-size SI cover 'unhealthy',"'I don't like that we're talking about full-figured women, because it's glamorizing them,' Cheryl Tiegs said of the Ashley Graham cover.",106,90,48,59,1855
"Teen sentenced to at least 40 years for raping, killing his math teacher","'You do not know pain until you are forced to watch someone you love be lowered into the ground,' the victim's brother said.",23,44,8,227,408
Donald Trump wants to 'open up' libel laws so he can sue press,"'We're going to have people sue you like you've never got sued before,' Donald J. Trump said.",104,86,591,45,959
Ex-Mexican President Vicente Fox: Donald Trump reminds me of Hitler,"Donald J. Trump 'reminds me of Hitler. That's the way he started speaking,' Vicente Fox Quesada said to Anderson Cooper.Fox has previously said he's 'not going to pay for that f***ing wall.'",682,84,670,28,123
Donald Trump confronts protester in strange encounter,Donald J. Trump had an unusual encounter with a protester wearing a shirt that said 'KKK endorses Trump.'Former Ku Klux Klan Grand Wizard David Duke had discussed his support for the mogul the day before.,28,60,187,34,444
MSNBC's Melissa Harris-Perry walks off show in protest,Melissa Harris-Perry is refusing to host her show this Saturday due to weeks of pre-emptions that she says has left her 'silenced.',77,50,369,128,67
Guatemala sentences 2 for crimes against humanity,Guatemala sentenced two former military officials to more than 100 years in prison each for using women as sex slaves during the country's civil war.,84,21,31,11,52
Melissa Harris-Perry 'highly unlikely' to return to MSNBC,"On Friday, the talk show host spoke out publicly, saying she had been 'silenced' by MSNBC and placed in a form of cable news purgatory. http://cnnmon.ie/1KSCccg via CNNMoney",40,15,93,22,35
Trump stares down man in 'KKK' shirt - CNN Video,Watch Donald Trump stare down a protester wearing a T-shirt that reads 'KKK endorses Trump': http://cnn.it/1VKvO7e,23,62,166,6,27
Americans are moving to Europe for free college degrees,"Want to study abroad? Americans can get a free college degree at 44 schools in Europe -- including all public colleges in Germany, Iceland, Norway and Finland.",871,683,55,26,36
Who killed Salma Hayek's dog?,"Actress takes to Instagram to talk about the loss of her dog, Mozart: 'He didn't deserve a slow and painful death.'  cnn.it/1TG37Jw",19,20,10,820,560
What to watch in the South Carolina Democratic primary,Hillary Clinton isn't just looking for a win -- she's seeking her first breakout victory over Vermont Sen. Bernie Sanders in the South Carolina Democratic primary.,52,6,14,10,190
"What's in the $200,000 Oscars gift bag? Vaporizers, M&Ms and controversy",Don't feel bad for losers at the Oscars -- they won't leave empty-handed. But the most expensive handout is also perhaps the most controversial. http://cnn.it/1OEesDo,21,116,11,11,126
Officer killed a day after she was sworn in,"A Virginia police officer was killed while responding to a domestic-related shooting a day after she was sworn in, authorities said. Two other officers were injured in the shooting, authorities said. One was in critical condition with multiple gunshot wounds and another officer was stable.",21,39,21,3334,847
Is it finally Leonardo DiCaprio's year?,"Leonardo DiCaprio: 0-6 at the #Oscars.",221,63,40,14,9
"Polls: Clinton dominates South; Trump, Cruz scrap for Super Tuesday edge","Hillary Clinton holds a sizable lead over Bernie Sanders in Georgia, Tennessee and Texas, while Ted Cruz is ahead of Donald J. Trump in at least one of those Super Tuesday states.",91,23,20,11,117
Should parents be allowed to choose the sex of their baby?,Chrissy Teigen and her husband John Legend announced they chose the gender of their soon-to-be-born daughter.,52,105,9,28,164
Chris Rock: 'You're damn right Hollywood is racist',"Chris Rock gets right to it during #Oscars monologue: 'We want opportunities. We want the black actors to get the same opportunities, that's it.'",998,100,144,25,531
Marco Rubio blasts Donald Trump's appearence,"Marco Rubio on Donald J. Trump: 'He's not gonna make America great, he's gonna make America orange.'",244,38,1815,19,75
Lady Gaga brings Oscars audience to tears,Wow. Lady Gaga does it again.,1229,140,14,47,11
Oscars 2016: Company cops backlash for confusing Oprah with Whoopi,Who knew a tattoo could lead to such an embarrassing gaffe?,33,170,514,14,21
Hillary Clinton set to score key Hispanic endorsement,"Just a day before Super Tuesday, The Congressional Hispanic Caucus PAC is set to endorse Hillary Clinton for president.",369,16,19,43,470
Oscars 2016: 10 of the best quotes from the night,Miss the Academy Awards last night? Here are some the best quotes from the evening.,62,9,49,7,25
Stacey Dash fails as 'director of minority outreach' at Oscars,Was this the most awkward moment at the Academy Awards?,19,77,258,11,34
"Justice Clarence Thomas breaks 10-year streak, asks question in court","'Everyone leaned in disbelieving.' For the first time in a decade, Supreme Court Justice Clarence Thomas spoke during oral arguments.",34,383,159,9,24
"The origins of Sanders' ideology, in his own words","In 1969, Bernie Sanders wrote a number of columns on a variety of topics. One on  sexuality included violent rape fantasies and the sexual development of children. Editor's note: This article contains language that may be offensive to some readers.",46,35,66,8,292
"Oscars 2016's lack of Hispanics, Asians shows that Hollywood doesn't get it (via CNN Opinion)","Don't kid yourself about Sunday night's Academy Awards. The #Oscars still don't get it, writes Lewis Beale for CNN Opinion.",39,14,45,76,183
Donald Trump rally interrupted by protests,"Some of the demonstrators chanted 'Black Lives Matter,' to which Donald J. Trump responded with 'All lives matter.'",341,37,156,12,284
Donald Trump tweets likely bogus Mahatma Gandhi quote,There's actually no evidence that the phrase originated with Gandhi...,9,7,135,6,91
Sam Smith isn't the first openly gay Oscar winner,"Sorry, SAM SMITH, you're not the first openly gay man to win an #Oscar",49,21,224,9,84
"Woman carries severed head of child into Moscow metro station, officials say","There's a video showing the woman walking outside the metro station saying, 'I am a terrorist. I hate you -- the enemy.'",12,95,6,439,595
Judge sides with Apple over feds in New York,"It's a win for Apple, which is being pressured by federal law enforcement agents to help it break into iPhones in at least 13 instances across the country.",439,87,44,6,38
Melania Trump: I don't always agree with Donald and that's OK,"'I'm thinking like, 'Don't repeat it,' in my head, for him.'Melania Trump says she doesn't agree with everything Donald J. Trump says -- especially his language.",59,20,136,6,23
GOP lawmakers brace for Trump nomination,"Donald J. Trump appears on track to secure the Republican presidential nomination, and some lawmakers are starting to feel anxiety about it.",135,28,88,33,316
"NASCAR CEO, drivers endorse Donald Trump","NASCAR CEO Brian France and several drivers endorsed Donald J. Trump at a rally ahead of the GOP's #SuperTuesday contests.",171,29,68,53,499
World's best and worst passports revealed,"When it comes to crossing international frontiers, there's one travel document that opens more doors than any other.",28,39,12,13,8
Singer with cancer has 'few days' left,Joey Feek wanted to live long enough to see her daughter's 2nd birthday. And she did.,482,13,10,3359,7
"Is it too little, too late for Republican elders' revolt against Trump?","Republicans like Mitt Romney and John Cornyn are speaking out against Donald J. Trump. But with #SuperTuesday upon us, is it too late for the party to revolt?",19,8,90,10,64
"Looking to November: Clinton, Sanders both top Trump",A new CNN/ORC poll shows that both Hillary Clinton and Bernie Sanders would both beat Donald J. Trump in a general election.,3647,125,679,26,133
Donald Trump's immigration plan could affect the nation's milk supply,Donald J. Trump's promise to deport all undocumented immigrants has farmers on edge.,32,43,204,28,216
Valdosta State University students escorted out of Trump rally,"'We didn't plan to do anything. They said, 'This is Trump's property; it's a private event.' But I paid my tuition to be here.'  Kicking out anticipated protestors isn't uncommon practice for Donald J. Trump  events, but this was one of the largest groups so far.",49,30,37,28,655
Donald Trump renounces support of white supremacists,"'There's nobody that's done so much for equality as I have,' said Donald J. Trump.",103,53,1055,25,769
Erin Andrews tearfully explains emotional effects of nude video,"'I felt like when I walked into a room... I felt like everybody was watching me like they'd seen the video,' Andrews told a Nashville court on Tuesday.",15,14,18,382,226
"Osama bin Laden's will, personal letters made public","In his will, bin Laden said that he had $29 million in Sudan that he wished to be used on 'jihad for the sake of Allah.'",16,24,65,7,140
Trump: People say I 'have the most beautiful hands',"'I've always heard people say, 'Donald, you have the most beautiful hands,'' said Donald J. Trump, brushing off comments from Marco Rubio.",51,17,519,13,189
'Trump' as anti-Latino epithet: Ugly incidents at high school games,Some students chanted 'Trump' as an epithet directed at Latino students.,11,28,49,194,618
South Dakota governor vetoes transgender bathroom bill,A bill that would have restricted which restrooms transgender students can use at school was vetoed.It had been decried by transgender rights advocates.,215,25,19,6,96
Everything you need to know about Super Tuesday,"BREAKING: CNN projects Donald J. Trump will win the Georgia Republican primary http://cnn.it/21B5tiZ #SuperTuesday #CNNElection",295,45,66,198,1331
"Clinton, Trump poised for big Super Tuesday wins",BREAKING: Hillary Clinton will win the Arkansas Democratic primary and American Samoa http://cnn.it/1Tmh9Si,461,29,27,42,528
Super Tuesday election results,"#SuperTuesday wins so far, by the numbers: -- Hillary Clinton: 7 states-- Donald J. Trump: 7 states-- Bernie Sanders: 4 states-- Ted Cruz: 2 states-- Marco Rubio: 1 state Stay with us for live updates:",422,546,55,197,351
Chris Christie steals Donald Trump's show,"For many, the look on Chris Christie's face said it all during Donald J. Trump's #SuperTuesday event.",44,14,524,11,70
